OBJECTID;Anlage;Adresse;Typ;Gruppe;X;Y;Lon;Lat
150;Sparkassentennisclub;Fürstenweg 172b;Tennisplatz;Tennis/Squash;77538,5815000003;236025,452299999;11,357464051;47,258527289
151;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;77753,7674000002;236026,1296;11,3603067500001;47,258508008
152;Spielplatz Pechepark;Pechestraße;Sportplatz;Spielplatz;80682,3744999999;236033,4615;11,398994251;47,2582216280001
153;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;77727,8937999997;236023,4629;11,359964501;47,2584870800001
154;Fußballplatz Wilten West / Besele;Innerkoflerstraße 11;Fußballplatz;Fußball/Football;79543,6441000002;235994,7042;11,383945093;47,2580116190001
155;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;77709,9737999998;236021,627699999;11,359727461;47,2584726910001
156;Sparkassentennisclub;Fürstenweg 172b;Tennisplatz;Tennis/Squash;77522,9205999998;236019,084799999;11,3572560710001;47,2584718680001
157;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;77688,1277999999;236009,373600001;11,359436755;47,258365064
158;Tennis- und Squashhallen West;Fürstenweg 172;Tennishalle;Tennis/Squash;77415,1268999996;235990,569499999;11,355827205;47,2582281030001
159;Tennis- und Squashhallen West;Fürstenweg 172;Squashhalle;Tennis/Squash;77440,3046000004;235996,955499999;11,3561609010001;47,2582825740001
160;Sparkassentennisclub;Fürstenweg 172b;Tennisplatz;Tennis/Squash;77552,4265000001;235991,3726;11,3576410470001;47,2582191710001
161;Sparkassentennisclub;Fürstenweg 172b;Tennisplatz;Tennis/Squash;77536,6853999998;235985,068399999;11,35743202;47,2581643290001
162;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;77753,3075999999;235976,816299999;11,3602921240001;47,258064575
163;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;77715,0104999999;235972,890799999;11,3597855470001;47,258033792
164;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;77692,1223999998;235970,517100001;11,3594827900001;47,258015146
165;Landessportcenter Tirol;Olympiastraße 10a;Hallenbad;Schwimmen;81606,1448999997;235966,6381;11,411184728;47,2575068360001
166;Tennis- und Squashhallen West;Fürstenweg 172;Tennishalle;Tennis/Squash;77441,4187000003;235955,794199999;11,3561685080001;47,257912268
167;Eisschnelllaufring;Olympiastraße 10;Eislaufplatz;Eissport;81439,5190000003;235929,4618;11,408976942;47,2571931350001
168;Eisschnelllaufring;Olympiastraße 10;Eislaufplatz;Eissport;81506,8300000001;235918,9352;11,4098641620001;47,2570901390001
169;Universitätssportanlagen;Fürstenweg 185;Leichtathletikanlage;Sonstiges;77689,3448999999;235915,6768;11,3594365970001;47,25752228
170;Universitätssportanlagen;Fürstenweg 185;Leichtathletikanlage;Sonstiges;77605,2451999998;235852,940300001;11,3583148110001;47,256967989
171;Universitätssportanlagen;Fürstenweg 185;Fußballplatz;Fußball/Football;77655,6564999996;235851,661499999;11,3589804980001;47,256950546
172;Spielplatz Mitterweg Ost;Mitterweg;Sportplatz;Spielplatz;78552,3806999996;235882,054500001;11,3708310650001;47,257117527
173;Universitätssportanlagen;Fürstenweg 185;Hallenbad;Schwimmen;77407,8042000001;235874,4958;11,3557104330001;47,2571850800001
174;Universitätssportanlagen;Fürstenweg 185;Fußballplatz;Fußball/Football;77544,3406999996;235817,761700001;11,357504208;47,2566587920001
175;Universitätssportanlagen;Fürstenweg 185;Leichtathletikanlage;Sonstiges;77714,9442999996;235833,598999999;11,359760529;47,2567811110001
176;Tivoli Stadion;Stadionstraße 1-1b;Fußballplatz;Fußball/Football;81607,8324999996;235800,0581;11,411176696;47,256008552
177;Universitätssportanlagen;Fürstenweg 185;Schießstandhalle;Sonstiges;77347,6964999996;235848,584899999;11,354911966;47,256959119
178;Universitätssportanlagen;Fürstenweg 185;Fußballplatz;Fußball/Football;77306,9452;235810,477700001;11,354367091;47,256621195
179;Kletterzentrum Tivoli;Stadionstraße 1;Kletterhalle;Fitness/Klettern;81675,9123;235838,9191;11,412083045;47,256349593
180;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;77474,4254999999;235846,2651;11,356585593;47,25692336
181;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;77480,6948999995;235835,911;11,3566666200001;47,256829505
182;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;77482,1140000001;235822,3607;11,3566830240001;47,256707476
183;Universitätssportanlagen;Fürstenweg 185;Sportplatz;Spielplatz;77372,6381000001;235805,401000001;11,355233981;47,2565678240001
184;Tivoli Fußballplatz W2;Olympiastraße 10;Fußballplatz;Fußball/Football;81505,4603000004;235778,4893;11,409820536;47,255827261
185;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;77449,9480999997;235812,884199999;11,356256493;47,2566260350001
186;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;77413,3507000003;235817,7238;11,3557738980001;47,2566738620001
187;Tennisanlage ÖBB;Hauptfrachtenbahnhof;Tennisplatz;Tennis/Squash;81032,0152000003;235791,465600001;11,4035691340001;47,2560023880001
188;Universitätssportanlagen;Fürstenweg 185;Kletterhalle;Fitness/Klettern;77417,6413000003;235800,9515;11,355827678;47,25652252
189;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;77478,3678000001;235773,9537;11,356625174;47,256272579
190;Universitätssportanlagen;Fürstenweg 185;Sportplatz;Spielplatz;77164,6328999996;235766,806;11,352479709;47,2562451320001
191;Universitätssportanlagen;Fürstenweg 185;Skate-/Rollerbladeplatz;Funsport;77125,2982000001;235775,5516;11,351961628;47,2563283910001
192;Universitätssportanlagen;Fürstenweg 185;Sportplatz;Spielplatz;77430,2867000001;235762,5656;11,3559880880001;47,256175818
193;Universitätssportanlagen;Fürstenweg 185;Sportplatz;Spielplatz;77385,7089;235758,452299999;11,3553985350001;47,2561440650001
194;Universitätssportanlagen;Fürstenweg 185;Beachvolleyballplatz;Funsport;77086,3556000004;235766,0689;11,35144559;47,2562476700001
195;Tennisanlage ÖBB;Hauptfrachtenbahnhof;Tennisplatz;Tennis/Squash;81039,5460000001;235754,7399;11,40366197;47,2556711820001
196;Universitätssportanlagen;Fürstenweg 185;Beachvolleyballplatz;Funsport;77074,3026999999;235764,058700001;11,3512860340001;47,2562310020001
197;Fitnessparkour Amras;Tummelplatzweg;Fitnessparkour;Fitness/Klettern;82812,8213;235648,659;11,427065414;47,254496567
198;Universitätssportanlagen;Fürstenweg 185;Beachvolleyballplatz;Funsport;77062,2441999996;235762,0473;11,351126403;47,256214324
199;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;77119,9811000004;235751,553200001;11,3518872650001;47,2561131890001
200;Universitätssportanlagen;Fürstenweg 185;Kletterhalle;Fitness/Klettern;77111,1424000002;235741,102;11,3517687140001;47,2560202340001
201;Sportanlage Pulverturm;Hans-Flöckinger-Promenade;Sportplatz;Spielplatz;77509,6150000002;235737,3769;11,357031606;47,2559399570001
202;Sportanlage Pulverturm;Hans-Flöckinger-Promenade;Sportplatz;Spielplatz;77469,8880000003;235733,312899999;11,35650614;47,2559080830001
203;Sportanlage Pulverturm;Hans-Flöckinger-Promenade;Skate-/Rollerbladeplatz;Funsport;77424,0604999997;235720,3893;11,3558985610001;47,255797246
204;Tivoli Beachvolleyballplatz;Olympiastraße 10;Beachvolleyballplatz;Funsport;81521,8432;235709,9803;11,4100244800001;47,2552091220001
205;Sportanlage Pulverturm;Hans-Flöckinger-Promenade;Basketballplatz;Funsport;77504,1019000001;235716,1522;11,356955113;47,255749726
206;Sportanlage Pulverturm;Hans-Flöckinger-Promenade;Basketballplatz;Funsport;77479,6997999996;235713,6361;11,356632346;47,2557299700001
207;Sportplatz Stift Wilten;Klostergasse;Sportplatz;Spielplatz;80782,2246000003;235574,1073;11,400230466;47,2540783410001
208;Sportanlage PHT;Pastorstraße 7;Leichtathletikanlage;Sonstiges;80464,1140999999;235418,988;11,3960008290001;47,252722271
209;Sportanlage PHT;Pastorstraße 7;Sportplatz;Spielplatz;80439,9622;235419,3849;11,3956818950001;47,252728791
210;Sportanlage PHT;Pastorstraße 7;Sportplatz;Spielplatz;80423,7844000002;235385,3605;11,395462111;47,2524247790001
211;Sportanlage Sieglanger;Josef-Franz-Huter-Straße 72;Fußballplatz;Fußball/Football;77397,3322000001;235350,9219;11,355481733;47,2524776610001
212;Sportanlage Sieglanger;Josef-Franz-Huter-Straße 72;Sportplatz;Spielplatz;77480,9929999998;235355,123199999;11,356587484;47,2525056090001
213;Sporthalle VS Sieglanger;Weingartnerstraße 26;Sporthalle;Sporthalle;78230,9314000001;235345,4692;11,366491264;47,2523301430001
214;Sprungschanze Bergisel;Bergisel;Sprungschanze;Wintersport;80738,5466999998;234969,791200001;11,3995447400001;47,2486489830001
215;Tennisplätze Ziegelstadl;Völser Straße;Tennisplatz;Tennis/Squash;77435,9095999999;234944,4509;11,355921102;47,2488176150001
216;Tennisplätze Ziegelstadl;Völser Straße;Tennisplatz;Tennis/Squash;77400,8284;234933,904899999;11,355455948;47,2487268940001
217;Spielplatz Grillhof;Grillhofweg 100;Sportplatz;Spielplatz;81338,4424999999;234083,178099999;11,407306949;47,2406017280001
218;Sporthalle VS Igls-Vill;Habichtstraße 9;Sporthalle;Sporthalle;81319,4689999996;233145,4804;11,406886495;47,2321711980001
219;Schießstand Igls;Igler Straße 58a;Schießstandhalle;Sonstiges;81288,1316;232906,803400001;11,406429525;47,230028599
220;Skigebiet Patscherkofel;Bilgeristraße 24;Skigebiet;Wintersport;81817,1074000001;232792,1691;11,4133924810001;47,228932222
221;Eislaufplatz / Beachvolleyballplatz Igls;nahe Bilgeristraße 24;Eislauf-/Beachvolleyballpl.;Funsport;81854,0404000003;232813,5714;11,4138839840001;47,2291201100001
222;Skigebiet Patscherkofel;Bilgeristraße 24;Skigebiet;Wintersport;82213,2237;232609,7381;11,418588717;47,227242302
223;Reitarena Innsbruck-Igls;Römerstraße 50;Reitanlage;Sonstiges;82822,8733000001;232645,274;11,426643766;47,2274855580001
224;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;81591,3353000004;232558,349099999;11,4103692780001;47,226857425
225;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;81604,2320999997;232548,026799999;11,4105376630001;47,2267629990001
226;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;81617,0944999997;232537,6625;11,4107055850001;47,226668198
227;Reitarena Innsbruck-Igls;Römerstraße 50;Reithalle;Sonstiges;82988,1942999996;232530,534700001;11,428805106;47,226432899
228;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;81574,2869999995;232527,9652;11,4101386900001;47,2265862880001
229;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;81561,2468999997;232511,9254;11,4099636240001;47,226443653
230;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;81550,6908;232498,6098;11,409821847;47,226325209
231;Tennis Park Club Igls;Patscher Straße 21;Tennishalle;Tennis/Squash;81593,3850999996;232453,7234;11,410377327;47,2259162550001
232;Tennis Park Club Igls;Patscher Straße 21;Squashhalle;Tennis/Squash;81623,2050000001;232463,6205;11,4107727960001;47,2260015690001
233;Fußballplatz Igls;Heiligwasserweg;Fußballplatz;Fußball/Football;82391,4539000001;232406,9539;11,4209044780001;47,2253963810001
234;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;81566,0451999996;232437,323100001;11,4100134190001;47,225772147
235;Skigebiet Patscherkofel;Bilgeristraße 24;Skigebiet;Wintersport;82586,8754000003;232230,6767;11,423451893;47,2237866410001
236;Olympia Bob- und Rodelbahn;Römerstraße;Bobbahn;Wintersport;83445,8404999999;231937,1598;11,434736507;47,221038838
237;Skigebiet Patscherkofel;Bilgeristraße 24;Skigebiet;Wintersport;83347,7166999998;230981,327;11,433263912;47,212455332
238;Klettergarten Ahrntal;Vill - Mülldeponie Ahrntal;Klettergarten;Fitness/Klettern;80741,3387000002;231486,479900001;11,398955076;47,217322541
239;Klettergarten Ahrntal;Vill - Mülldeponie Ahrntal;Klettergarten;Fitness/Klettern;80607,2638999997;231463,841399999;11,3971812950001;47,2171353510001
240;Klettergarten Goldbichl (ÖAV);Römerstraße;Klettergarten;Fitness/Klettern;82292,3009000001;231311,8782;11,41939489;47,21556058
241;Freibad Tivoli;Purtschellerstraße 1;Basketballplatz;Funsport;81335,9833000004;236189,5602;11,4076564960001;47,2595450310001
242;Freibad Tivoli;Purtschellerstraße 1;Sportplatz;Spielplatz;81351,3541000001;236133,3728;11,407849346;47,2590378310001
243;Freibad Tivoli;Purtschellerstraße 1;Skate-/Rollerbladeplatz;Funsport;81384,1575999996;236127,2991;11,408281572;47,2589791560001
244;Hypoxi Studio Innsbruck;Viaduktbogen 53;Fitnesscenter;Fitness/Klettern;81064,5898000002;237451,2212;11,4042996430001;47,2709247820001
245;Fitnesscenter Lhotka;Innrain 11;Fitnesscenter;Fitness/Klettern;80093,7825999996;236960,6708;11,391384843;47,2666320380001
246;Fitnesscenter Kleewein;Grabenweg 67b;Fitnesscenter;Fitness/Klettern;83672,0158000002;236856,521600001;11,4386396250001;47,2652503050001
247;Body-Mind;Andreas-Hofer-Straße 11-13;Fitnesscenter;Fitness/Klettern;80132,5251000002;236330,958699999;11,3917841040001;47,260964216
248;Body-Mind;Andreas-Hofer-Straße 11-13;Fitnesscenter;Fitness/Klettern;80135,3174000001;236313,1853;11,391817814;47,2608040370001
249;Alfa Sports and SPA;Innrain 143;Fitnesscenter;Fitness/Klettern;79055,2670999998;235781,8551;11,377456259;47,2561562330001
250;Baggersee Minigolf;Archenweg;Minigolfanlage;Golf/Minigolf;84317,5597999999;237080,718900001;11,447210222;47,267184135
251;Baggersee Minigolf;Archenweg;Skate-/Rollerbladeplatz;Funsport;84367,7325999998;237066,349300001;11,4478703820001;47,26704848
252;Baggersee;Archenweg;Beachvolleyballplatz;Funsport;84280,7719000001;237049,1812;11,4467182600001;47,266905228
253;Baggersee;Archenweg;Bocciabahn;Sonstiges;84308,7533999998;237051,703;11,4470884150001;47,2669243230001
254;Baggersee;Archenweg;Freibad;Schwimmen;84294,8269999996;236923,2585;11,4468802590001;47,265771005
